date,nasdaq,
01-01-1971,693,101
1971-02-01,693.37,101.34
1971-03-01,723.25,105.97
1971-04-01,764.54,112.3
1971-05-01,733.29,108.25
1971-06-01,724.85,107.8
1971-07-01,706.15,105.27
1971-08-01,725.44,108.42
1971-09-01,729.52,109.03
1971-10-01,701.54,105.1
1971-11-01,694,103.97
1971-12-01,757.99,114.12
1972-01-01,789.53,118.87
1972-02-01,828.76,125.38
1972-03-01,844.96,128.14
1972-04-01,863.89,131.33
1972-05-01,869.79,132.53
1972-06-01,851.63,130.08
1972-07-01,832.42,127.75
1972-08-01,844.68,129.95
1972-09-01,840.52,129.61
1972-10-01,840.57,130.24
1972-11-01,856.13,132.96
1972-12-01,859.08,133.73
1973-01-01,822.92,128.4
1973-02-01,766.29,120.41
1973-03-01,740.59,117.46
1973-04-01,675.36,107.85
1973-05-01,638.32,102.64
1973-06-01,623.75,100.98
1973-07-01,669.55,108.64
1973-08-01,634.78,104.87
1973-09-01,671.65,111.2
1973-10-01,659.59,110.17
1973-11-01,556.2,93.51
1973-12-01,544.75,92.19
1974-01-01,556.1,94.93
1974-02-01,545.72,94.35
1974-03-01,526.95,92.27
1974-04-01,494.06,86.86
1974-05-01,450.48,80.2
1974-06-01,423.17,75.96
1974-07-01,386.76,69.99
1974-08-01,340.54,62.37
1974-09-01,300.34,55.67
1974-10-01,348.52,65.23
1974-11-01,333.7,62.95
1974-12-01,314.65,59.82
1975-01-01,365.65,69.78
1975-02-01,379.6,73
1975-03-01,391.92,75.66
1975-04-01,405.34,78.54
1975-05-01,426.47,83.1
1975-06-01,443.19,87.02
1975-07-01,419.03,83.19
1975-08-01,397.26,79.01
1975-09-01,371.65,74.33
1975-10-01,382.87,76.99
1975-11-01,389.04,78.8
1975-12-01,381.81,77.62
1976-01-01,427.42,87.05
1976-02-01,441.64,90.26
1976-03-01,442.59,90.62
1976-04-01,438.33,90.08
1976-05-01,425.41,88.04
1976-06-01,434.08,90.32
1976-07-01,436.46,91.29
1976-08-01,426.61,89.7
1976-09-01,432.57,91.26
1976-10-01,426,90.35
1976-11-01,428.9,91.12
1976-12-01,459.16,97.88
1977-01-01,445.89,95.54
1977-02-01,436.82,94.57
1977-03-01,431.87,94.13
1977-04-01,434.43,95.48
1977-05-01,432.74,95.59
1977-06-01,448.59,99.73
1977-07-01,450.41,100.65
1977-08-01,446.55,100.1
1977-09-01,448.38,100.85
1977-10-01,432.21,97.52
1977-11-01,454.89,103.15
1977-12-01,461.8,105.05
1978-01-01,440.47,100.84
1978-02-01,440.38,101.47
1978-03-01,457.3,106.2
1978-04-01,492.05,115.18
1978-05-01,508.98,120.24
1978-06-01,503.7,120.3
1978-07-01,524.86,126.32
1978-08-01,558.4,135.01
1978-09-01,545.51,132.89
1978-10-01,452.15,111.12
1978-11-01,464.49,114.69
1978-12-01,475.81,117.98
1979-01-01,502.9,125.82
1979-02-01,484.23,122.56
1979-03-01,515.31,131.76
1979-04-01,517.48,133.82
1979-05-01,501.76,131.42
1979-06-01,521.58,138.13
1979-07-01,527.87,141.33
1979-08-01,556.48,150.44
1979-09-01,548.93,149.98
1979-10-01,491.97,135.53
1979-11-01,518.9,144.26
1979-12-01,537.91,151.14
1980-01-01,567.58,161.75
1980-02-01,546.78,158.03
1980-03-01,446.45,131
1980-04-01,471.77,139.99
1980-05-01,502.05,150.45
1980-06-01,520.83,157.78
1980-07-01,567.14,171.81
1980-08-01,594.84,181.52
1980-09-01,610.22,187.76
1980-10-01,620.56,192.78
1980-11-01,664.62,208.15
1980-12-01,640,202.34
1981-01-01,620.73,197.81
1981-02-01,615.02,198.01
1981-03-01,648.41,210.18
1981-04-01,664.09,216.74
1981-05-01,679.35,223.47
1981-06-01,650.05,215.75
1981-07-01,630.66,211.63
1981-08-01,579.03,195.75
1981-09-01,527.31,180.03
1981-10-01,570.69,195.24
1981-11-01,586.79,201.37
1981-12-01,568.72,195.84
1982-01-01,545.39,188.39
1982-02-01,517.83,179.43
1982-03-01,507.45,175.65
1982-04-01,531.38,184.7
1982-05-01,508.84,178.54
1982-06-01,482.04,171.3
1982-07-01,468.58,167.35
1982-08-01,496.52,177.71
1982-09-01,523.36,187.65
1982-10-01,591.11,212.63
1982-11-01,647.22,232.31
1982-12-01,650.05,232.41
1983-01-01,693.14,248.35
1983-02-01,727.01,260.67
1983-03-01,755.26,270.8
1983-04-01,811.48,293.06
1983-05-01,849.62,308.73
1983-06-01,874.51,318.7
1983-07-01,830.72,303.96
1983-08-01,796.84,292.42
1983-09-01,804.22,296.65
1983-10-01,742.11,274.55
1983-11-01,770.74,285.67
1983-12-01,750.83,278.6
1984-01-01,719.12,268.43
1984-02-01,673.35,252.57
1984-03-01,667.33,250.78
1984-04-01,655.22,247.44
1984-05-01,614.64,232.82
1984-06-01,631,239.65
1984-07-01,602.5,229.7
1984-08-01,665.12,254.64
1984-09-01,649.84,249.94
1984-10-01,640.47,247
1984-11-01,628.54,242.4
1984-12-01,640.73,247.1
1985-01-01,721.28,278.7
1985-02-01,732.1,284.2
1985-03-01,716.43,279.2
